data source: https://au.investing.com/indices/us-spx-500-futures-historical-data,,,,,,
,,,,,,
Date,Price,Open,High,Low,Vol.,Change %
"Sep 10, 1997",915.25,933.75,934.25,916.75,11.39K,-2.01
"Sep 11, 1997",908.5,916,917.5,900.5,2.52K,-0.74
"Sep 12, 1997",924,908,926.25,904,0.93K,1.71
"Sep 15, 1997",921.75,924.75,930,919.5,0.21K,-0.24
"Sep 16, 1997",946.25,922.5,949.25,921,0.35K,2.66
"Sep 17, 1997",945.75,944.25,952.5,942.25,0.35K,-0.05
"Sep 18, 1997",948,946.25,959.75,945.25,0.69K,0.24
"Sep 19, 1997",960.5,957.75,963.25,953,10.01K,1.32
"Sep 22, 1997",966.25,960.25,972,960.25,12.13K,0.6
"Sep 23, 1997",962,965.25,967.25,956.5,10.20K,-0.44
"Sep 24, 1997",954.5,961.5,970.5,952,14.58K,-0.78
"Sep 25, 1997",946.5,953.75,957.5,945.5,14.11K,-0.84
"Sep 26, 1997",953.25,946.25,956.5,946.25,12.10K,0.71
"Sep 29, 1997",961.75,953.25,964.5,950.25,11.15K,0.89
"Sep 30, 1997",954.5,961,965.25,953.25,15.24K,-0.75
"Oct 01, 1997",963.5,955.5,966.5,954.5,14.02K,0.94
"Oct 02, 1997",969,963.25,969.5,961,9.65K,0.57
"Oct 03, 1997",975.5,969.25,985.5,961.75,13.79K,0.67
"Oct 06, 1997",981.5,976.75,983.75,976.5,9.25K,0.62
"Oct 07, 1997",989.5,982,992.25,977.5,11.90K,0.82
"Oct 08, 1997",982.25,989.5,991.75,974.75,16.20K,-0.73
"Oct 09, 1997",978,982.25,983.25,969.25,9.41K,-0.43
"Oct 10, 1997",925.05,978.75,981,964,6.51K,-5.41
"Oct 13, 1997",976.25,976.75,981.75,974,3.91K,5.53
"Oct 14, 1997",977.5,976.25,981.5,968.5,11.92K,0.13
"Oct 15, 1997",931.5,975.75,976.75,968,9.72K,-4.71
"Oct 16, 1997",956,973.5,981.25,955.25,13.00K,2.63
"Oct 17, 1997",948.75,959,960,935.5,13.57K,-0.76
"Oct 20, 1997",962.25,948.5,963,945,11.77K,1.42
"Oct 21, 1997",979.5,963.5,980.5,962,10.58K,1.79
"Oct 22, 1997",974.25,979,980.5,970.5,10.28K,-0.54
"Oct 23, 1997",955.5,973,974.25,947.5,13.57K,-1.92
"Oct 24, 1997",944,956,969,941.5,14.92K,-1.2
"Oct 27, 1997",874,942.5,944,874,15.39K,-7.42
"Oct 28, 1997",924.5,862,933,844,17.08K,5.78
"Oct 29, 1997",924.25,924,942,916.25,16.55K,-0.03
