Bank of England | Database,,,,
Date,"Forward exchange rate, 1 month, US$ into Sterling                          XUDLDS1","Forward exchange rate, 3 month, US$ into Sterling                          XUDLDS3","Forward exchange rate, 6 month, US$ into Sterling                          XUDLDS6","Forward exchange rate, 12 month, US$ into Sterling                          XUDLDSY"
29 Dec 17,1.3524,1.3551,1.3596,1.3696
28 Dec 17,1.3449,1.3478,1.3522,1.362
27 Dec 17,1.3425,1.3449,1.3495,1.359
22 Dec 17,1.342,1.3444,1.3491,1.3585
21 Dec 17,1.3384,1.3407,1.3453,1.3547
20 Dec 17,1.3431,1.3455,1.35,1.3595
19 Dec 17,1.3378,1.3403,1.3448,1.3544
18 Dec 17,1.3434,1.3458,1.3503,1.3598
15 Dec 17,1.3355,1.338,1.3425,1.3518
14 Dec 17,1.3455,1.3479,1.3524,1.3615
13 Dec 17,1.3393,1.3417,1.3461,1.3552
12 Dec 17,1.3348,1.3371,1.3415,1.3508
11 Dec 17,1.3385,1.3408,1.3451,1.3542
08 Dec 17,1.3398,1.3422,1.3465,1.3555
07 Dec 17,1.344,1.3464,1.3507,1.3596
06 Dec 17,1.3403,1.3427,1.347,1.3559
05 Dec 17,1.3478,1.3502,1.3545,1.3635
04 Dec 17,1.35,1.3523,1.3566,1.3654
01 Dec 17,1.3509,1.3533,1.3576,1.3664
30 Nov 17,1.3549,1.3573,1.3616,1.3702
29 Nov 17,1.3431,1.3455,1.3496,1.3582
28 Nov 17,1.3245,1.3275,1.3316,1.3401
27 Nov 17,1.3352,1.3382,1.3423,1.351
24 Nov 17,1.3362,1.3393,1.3433,1.352
23 Nov 17,1.3308,1.3339,1.338,1.3465
22 Nov 17,1.3296,1.3326,1.3366,1.3454
21 Nov 17,1.3243,1.3273,1.3313,1.3401
20 Nov 17,1.3273,1.3304,1.3344,1.3429
17 Nov 17,1.3218,1.3248,1.3288,1.3371
16 Nov 17,1.3207,1.3237,1.3277,1.3361
15 Nov 17,1.3173,1.3205,1.3243,1.3327
14 Nov 17,1.3129,1.3159,1.3198,1.3281
13 Nov 17,1.3122,1.3153,1.3192,1.3274
10 Nov 17,1.323,1.326,1.3299,1.338
09 Nov 17,1.3128,1.3158,1.3197,1.3278
08 Nov 17,1.3111,1.3141,1.3178,1.3262
07 Nov 17,1.3152,1.318,1.3219,1.3301
06 Nov 17,1.3131,1.3159,1.3198,1.3279
03 Nov 17,1.3077,1.3105,1.3143,1.3224
02 Nov 17,1.3078,1.3106,1.3144,1.3222
01 Nov 17,1.3268,1.3297,1.3332,1.3408
31 Oct 17,1.3292,1.332,1.3356,1.3433
30 Oct 17,1.3206,1.3234,1.3271,1.3347
27 Oct 17,1.3123,1.3151,1.3188,1.3264
26 Oct 17,1.3183,1.321,1.3247,1.3323
25 Oct 17,1.3265,1.3293,1.333,1.3406
24 Oct 17,1.3132,1.3159,1.3196,1.3272
23 Oct 17,1.3198,1.3225,1.3262,1.3338
20 Oct 17,1.3202,1.323,1.3267,1.3344
19 Oct 17,1.3216,1.3243,1.328,1.3356
18 Oct 17,1.3183,1.3211,1.3248,1.3324
17 Oct 17,1.3182,1.3209,1.3246,1.3322
16 Oct 17,1.3296,1.3322,1.3358,1.3431
13 Oct 17,1.3318,1.3345,1.3382,1.3454
12 Oct 17,1.3178,1.3205,1.3242,1.3315
11 Oct 17,1.3203,1.3231,1.3267,1.3341
10 Oct 17,1.3233,1.3259,1.3296,1.3369
09 Oct 17,1.3146,1.3171,1.3208,1.3283
06 Oct 17,1.3071,1.3097,1.3135,1.3209
05 Oct 17,1.3152,1.3178,1.3215,1.3287
04 Oct 17,1.329,1.3317,1.3352,1.3427
03 Oct 17,1.3259,1.3284,1.332,1.3393
02 Oct 17,1.3291,1.3316,1.3352,1.3423
29 Sep 17,1.343,1.3455,1.3491,1.3562
28 Sep 17,1.3458,1.3483,1.352,1.3589
27 Sep 17,1.3402,1.3424,1.3462,1.3534
26 Sep 17,1.3433,1.3455,1.3493,1.3565
25 Sep 17,1.3499,1.3522,1.356,1.3632
22 Sep 17,1.3541,1.3564,1.3601,1.3674
21 Sep 17,1.3557,1.358,1.3616,1.3687
20 Sep 17,1.3582,1.3604,1.364,1.371
19 Sep 17,1.3538,1.356,1.3596,1.3665
18 Sep 17,1.3571,1.3594,1.363,1.3698
15 Sep 17,1.361,1.3632,1.3668,1.3736
14 Sep 17,1.3364,1.3386,1.3423,1.3494
13 Sep 17,1.3244,1.3267,1.3305,1.338
