Time,TB3m,TB10y
02-Jan-1962,2.7,4.06
03-Jan-1962,2.73,4.03
04-Jan-1962,2.72,3.99
05-Jan-1962,2.74,4.02
08-Jan-1962,2.78,4.03
09-Jan-1962,2.78,4.05
10-Jan-1962,2.81,4.07
11-Jan-1962,2.78,4.08
12-Jan-1962,2.76,4.08
15-Jan-1962,2.74,4.1
16-Jan-1962,2.73,4.13
17-Jan-1962,2.74,4.12
18-Jan-1962,2.71,4.11
19-Jan-1962,2.71,4.11
22-Jan-1962,2.68,4.09
23-Jan-1962,2.66,4.11
24-Jan-1962,2.66,4.1
25-Jan-1962,2.66,4.11
26-Jan-1962,2.67,4.11
29-Jan-1962,2.67,4.12
30-Jan-1962,2.67,4.11
31-Jan-1962,2.73,4.1
01-Feb-1962,2.69,4.09
02-Feb-1962,2.67,4.08
05-Feb-1962,2.67,4.07
06-Feb-1962,2.68,4.06
07-Feb-1962,2.73,4.07
08-Feb-1962,2.72,4.07
09-Feb-1962,2.72,4.05
12-Feb-1962,2.72,4.05
13-Feb-1962,2.76,4.03
14-Feb-1962,2.82,4.03
15-Feb-1962,2.84,4.02
16-Feb-1962,2.83,4.02
19-Feb-1962,2.8,4.01
20-Feb-1962,2.75,4.05
21-Feb-1962,2.73,4.03
22-Feb-1962,2.73,4.03
23-Feb-1962,2.69,4.02
26-Feb-1962,2.66,4
27-Feb-1962,2.72,4.01
28-Feb-1962,2.71,4
01-Mar-1962,2.68,3.98
02-Mar-1962,2.69,3.98
05-Mar-1962,2.7,4
06-Mar-1962,2.72,4.01
07-Mar-1962,2.75,4
08-Mar-1962,2.75,3.98
09-Mar-1962,2.76,3.96
12-Mar-1962,2.75,3.94
13-Mar-1962,2.75,3.92
14-Mar-1962,2.75,3.93
15-Mar-1962,2.73,3.96
16-Mar-1962,2.72,3.96
19-Mar-1962,2.7,3.93
20-Mar-1962,2.7,3.91
21-Mar-1962,2.71,3.86
22-Mar-1962,2.69,3.83
23-Mar-1962,2.7,3.87
26-Mar-1962,2.71,3.89
27-Mar-1962,2.72,3.9
28-Mar-1962,2.73,3.9
29-Mar-1962,2.75,3.9
30-Mar-1962,2.75,3.86
02-Apr-1962,2.74,3.86
03-Apr-1962,2.73,3.83
04-Apr-1962,2.7,3.78
05-Apr-1962,2.72,3.84
06-Apr-1962,2.7,3.81
09-Apr-1962,2.71,3.83
10-Apr-1962,2.74,3.83
11-Apr-1962,2.78,3.87
12-Apr-1962,2.73,3.86
13-Apr-1962,2.74,3.85
16-Apr-1962,2.71,3.83
17-Apr-1962,2.72,3.82
18-Apr-1962,2.73,3.81
19-Apr-1962,2.73,3.82
20-Apr-1962,2.73,3.82
23-Apr-1962,2.73,3.86
24-Apr-1962,2.73,3.87
25-Apr-1962,2.74,3.88
26-Apr-1962,2.73,3.89
27-Apr-1962,2.74,3.86
30-Apr-1962,2.74,3.86
01-May-1962,2.74,3.85
02-May-1962,2.74,3.86
03-May-1962,2.73,3.86
04-May-1962,2.73,3.87
07-May-1962,2.7,3.86
08-May-1962,2.68,3.85
09-May-1962,2.67,3.82
10-May-1962,2.66,3.83
11-May-1962,2.63,3.82
14-May-1962,2.64,3.85
15-May-1962,2.66,3.87
16-May-1962,2.67,3.86
17-May-1962,2.68,3.87
18-May-1962,2.68,3.93
21-May-1962,2.68,3.94
22-May-1962,2.68,3.93
23-May-1962,2.7,3.91
24-May-1962,2.7,3.9
25-May-1962,2.69,3.88
28-May-1962,2.65,3.87
29-May-1962,2.66,3.89
30-May-1962,2.66,3.89
31-May-1962,2.7,3.9
01-Jun-1962,2.69,3.89
04-Jun-1962,2.66,3.88
05-Jun-1962,2.65,3.89
06-Jun-1962,2.66,3.89
07-Jun-1962,2.64,3.87
08-Jun-1962,2.65,3.86
11-Jun-1962,2.65,3.87
12-Jun-1962,2.67,3.86
13-Jun-1962,2.71,3.87
14-Jun-1962,2.73,3.9
15-Jun-1962,2.71,3.89
18-Jun-1962,2.72,3.91
19-Jun-1962,2.75,3.93
20-Jun-1962,2.73,3.92
21-Jun-1962,2.72,3.9
22-Jun-1962,2.74,3.9
25-Jun-1962,2.79,3.95
26-Jun-1962,2.83,3.97
27-Jun-1962,2.83,3.96
28-Jun-1962,2.86,3.98
29-Jun-1962,2.9,4
02-Jul-1962,2.92,4
03-Jul-1962,2.9,4
04-Jul-1962,2.9,4
05-Jul-1962,2.92,4
06-Jul-1962,2.93,4.02
09-Jul-1962,2.96,4.05
10-Jul-1962,2.96,4.02
11-Jul-1962,2.97,3.99
12-Jul-1962,2.98,4
13-Jul-1962,2.96,4
16-Jul-1962,2.97,4.01
17-Jul-1962,2.97,4.03
18-Jul-1962,2.97,4.02
19-Jul-1962,2.93,4.02
20-Jul-1962,2.91,4.01
23-Jul-1962,2.87,4
24-Jul-1962,2.86,4.01
25-Jul-1962,2.89,4.02
26-Jul-1962,2.89,4.01
27-Jul-1962,2.88,4.02
30-Jul-1962,2.86,4.03
31-Jul-1962,2.86,4.04
01-Aug-1962,2.87,4.03
02-Aug-1962,2.83,4
03-Aug-1962,2.82,4.01
06-Aug-1962,2.8,4.01
07-Aug-1962,2.83,4.02
08-Aug-1962,2.84,4.01
09-Aug-1962,2.83,3.99
10-Aug-1962,2.83,3.99
13-Aug-1962,2.82,3.99
14-Aug-1962,2.83,3.98
15-Aug-1962,2.86,3.98
16-Aug-1962,2.83,3.96
17-Aug-1962,2.84,3.96
20-Aug-1962,2.82,3.94
21-Aug-1962,2.82,3.94
22-Aug-1962,2.82,3.95
23-Aug-1962,2.82,3.95
24-Aug-1962,2.82,3.95
27-Aug-1962,2.8,3.95
28-Aug-1962,2.78,3.96
29-Aug-1962,2.81,3.96
30-Aug-1962,2.8,3.95
31-Aug-1962,2.81,3.96
03-Sep-1962,2.81,3.96
04-Sep-1962,2.83,3.96
05-Sep-1962,2.85,3.97
06-Sep-1962,2.79,3.99
